Institution Name,City,State,Fall 2013 Enrollment
University of Scranton,Scranton,PA,5633
Missouri Southern State University,Joplin,MO,5616
Governors State University,University Park,IL,5568
Bowie State University,Bowie,MD,5561
Saint Mary's University of Minnesota,Winona,MN,5528
Tompkins Cortland Community College,Dryden,NY,5490
Angelina College,Lufkin,TX,5490
Robert Morris University,Moon Township,PA,5481
Frostburg State University,Frostburg,MD,5473
University of Indianapolis,Indianapolis,IN,5452
University of South Carolina-Upstate,Spartanburg,SC,5445
Taft College,Taft,CA,5444
Bradley University,Peoria,IL,5430
Concordia University-Portland,Portland,OR,5428
Dallas Baptist University,Dallas,TX,5422
Southwest Texas Junior College,Uvalde,TX,5410
Rider University,Lawrenceville,NJ,5410
Winston-Salem State University,Winston-Salem,NC,5399
SUNY at Fredonia,Fredonia,NY,5391
Colorado Christian University,Lakewood,CO,5368
Eastern Connecticut State University,Willimantic,CT,5368
Saint Joseph's College-New York,Brooklyn,NY,5354
Missouri Baptist University,Saint Louis,MO,5345
Texas State Technical College-Harlingen,Harlingen,TX,5332
